album_id,album_id_matrix,artist_id,artist_id_matrix,play_count
al_776,776,ar_13,13,676236
al_777,777,ar_442,442,7162418
al_778,778,ar_449,449,3338
al_779,779,ar_13,13,6079713
al_780,780,ar_451,451,6927379
al_781,781,ar_6,6,13337177
al_782,782,ar_449,449,12411926
al_783,783,ar_453,453,9415370
al_784,784,ar_452,452,32637864
al_785,785,ar_114,114,6471748
al_786,786,ar_449,449,4535012
al_787,787,ar_61,61,3545640
al_788,788,ar_455,455,4607
al_789,789,ar_456,456,57771
al_790,790,ar_457,457,1479173
al_791,791,ar_458,458,207390
al_792,792,ar_109,109,1557476
al_793,793,ar_17,17,6267
al_794,794,ar_461,461,744960
al_795,795,ar_42,42,6153096
al_796,796,ar_2,2,2450035
al_797,797,ar_249,249,2664118
al_798,798,ar_462,462,580
al_799,799,ar_461,461,6546074
al_800,800,ar_115,115,26748342
al_801,801,ar_109,109,10500539
al_802,802,ar_468,468,3715983
al_803,803,ar_23,23,2164
al_804,804,ar_469,469,3557882
al_805,805,ar_461,461,5175
al_806,806,ar_17,17,2125391
al_807,807,ar_471,471,1229554
al_808,808,ar_473,473,1238
al_809,809,ar_474,474,4980053
al_810,810,ar_17,17,13114703
al_811,811,ar_475,475,5315
al_812,812,ar_142,142,258
al_813,813,ar_476,476,1008351
al_814,814,ar_22,22,75379139
al_815,815,ar_478,478,6592248
al_816,816,ar_109,109,22937027
al_817,817,ar_306,306,3817232
al_818,818,ar_306,306,16373553
al_819,819,ar_470,470,5581845
al_820,820,ar_39,39,7482441
al_821,821,ar_64,64,1111078
al_822,822,ar_46,46,28720856
al_823,823,ar_480,480,73784
al_824,824,ar_452,452,2081210
al_825,825,ar_481,481,53602
al_826,826,ar_482,482,4861
al_827,827,ar_483,483,5318
al_828,828,ar_484,484,59931
al_829,829,ar_485,485,3655972
al_830,830,ar_258,258,30619
al_831,831,ar_486,486,290
al_832,832,ar_487,487,57893426
al_833,833,ar_488,488,1669
al_834,834,ar_489,489,18432
al_835,835,ar_490,490,1081
al_836,836,ar_491,491,850
al_837,837,ar_493,493,13695
al_838,838,ar_494,494,1518
al_839,839,ar_495,495,17
al_840,840,ar_27,27,1046168
al_841,841,ar_258,258,1918135
